ISP_ID,Engineer_ID,Department,Risk_Level,Completion_Time_Minutes,Quality_Score,Reason_for_Low_Quality,Date,Low_Quality,Predicted_Low_Quality,Prediction_Probability
1,1051,Safety,Medium,55,82,Incomplete description,3/28/2023,0,0,0.23
2,1092,Engineering,High,89,98,Late submission,2/10/2023,0,0,0.02
3,1014,Maintenance,Low,50,70,No issue,5/3/2023,0,1,0.83
4,1071,Operations,Low,25,58,Poor mitigation plan,3/16/2023,1,0,0.6
5,1060,Safety,Low,48,55,Poor mitigation plan,2/11/2023,1,0,0.48
6,1020,Engineering,High,15,100,No issue,4/27/2023,0,1,0.76
7,1082,Quality,High,72,94,Poor mitigation plan,6/10/2023,0,0,0.51
8,1086,Maintenance,Medium,5,84,Incomplete description,6/27/2023,0,0,0.13
9,1074,Safety,Low,67,88,Poor mitigation plan,3/4/2023,0,1,0.89
10,1074,Safety,Medium,28,71,Poor mitigation plan,8/16/2023,0,0,0.48
11,1087,Operations,High,17,90,No issue,6/14/2023,0,0,0.12
12,1099,Operations,Medium,15,54,No issue,8/21/2023,1,0,0.51
13,1023,Quality,High,55,91,Poor mitigation plan,7/6/2023,0,0,0.2
14,1002,Quality,High,21,72,Missing risk assessment,5/7/2023,0,0,0.26
15,1021,Engineering,Medium,86,66,No issue,7/28/2023,1,0,0.1
16,1052,Engineering,Medium,28,61,Late submission,8/15/2023,1,0,0.36
17,1001,Quality,Low,23,72,Late submission,6/25/2023,0,0,0.29
18,1087,Quality,Low,41,65,Incomplete description,5/13/2023,1,0,0.44
19,1029,Maintenance,Medium,89,52,Poor mitigation plan,2/17/2023,1,1,0.8
20,1037,Operations,Low,12,79,Missing risk assessment,8/12/2023,0,0,0.53
21,1001,Engineering,High,32,71,Incomplete description,1/3/2023,0,0,0.29
22,1063,Operations,High,9,58,Poor mitigation plan,4/26/2023,1,1,0.97
23,1059,Operations,Medium,21,78,No issue,6/24/2023,0,0,0.04
24,1020,Quality,Low,40,96,Late submission,7/9/2023,0,0,0.36
25,1032,Maintenance,Low,23,86,Missing risk assessment,4/9/2023,0,0,0.54
26,1075,Safety,Low,68,72,Late submission,4/26/2023,0,1,0.8
27,1057,Maintenance,Medium,15,62,No issue,1/14/2023,1,0,0.12
28,1021,Maintenance,Medium,58,81,Poor mitigation plan,7/10/2023,0,0,0.59
29,1088,Operations,High,49,95,No issue,4/22/2023,0,0,0.64
30,1048,Maintenance,Medium,51,96,No issue,3/2/2023,0,0,0.55
31,1090,Engineering,High,16,97,Late submission,6/8/2023,0,0,0.1
32,1058,Operations,High,25,72,Missing risk assessment,4/5/2023,0,0,0.62
33,1041,Engineering,Low,15,94,No issue,1/17/2023,0,0,0.22
34,1091,Safety,High,9,66,Late submission,5/4/2023,1,1,0.92
35,1059,Operations,Low,85,89,Missing risk assessment,1/24/2023,0,0,0.61
36,1079,Safety,Low,60,70,Poor mitigation plan,4/26/2023,0,0,0.47
37,1014,Operations,Medium,24,51,Poor mitigation plan,5/31/2023,1,0,0.24
38,1061,Quality,Low,45,86,Incomplete description,3/23/2023,0,0,0.03
39,1061,Maintenance,Medium,50,55,Late submission,2/19/2023,1,1,0.8
