ISP_ID,Engineer_ID,Department,Risk_Level,Completion_Time_Minutes,Quality_Score,Reason_for_Low_Quality,Date,Low_Quality
1,1051,Safety,Medium,55,82,Incomplete description,2023-03-28,0
2,1092,Engineering,High,89,98,Late submission,2023-02-10,0
3,1014,Maintenance,Low,50,70,No issue,2023-05-03,0
4,1071,Operations,Low,25,58,Poor mitigation plan,2023-03-16,1
5,1060,Safety,Low,48,55,Poor mitigation plan,2023-02-11,1
6,1020,Engineering,High,15,100,No issue,2023-04-27,0
7,1082,Quality,High,72,94,Poor mitigation plan,2023-06-10,0
8,1086,Maintenance,Medium,5,84,Incomplete description,2023-06-27,0
9,1074,Safety,Low,67,88,Poor mitigation plan,2023-03-04,0
10,1074,Safety,Medium,28,71,Poor mitigation plan,2023-08-16,0
11,1087,Operations,High,17,90,No issue,2023-06-14,0
12,1099,Operations,Medium,15,54,No issue,2023-08-21,1
13,1023,Quality,High,55,91,Poor mitigation plan,2023-07-06,0
14,1002,Quality,High,21,72,Missing risk assessment,2023-05-07,0
15,1021,Engineering,Medium,86,66,No issue,2023-07-28,1
16,1052,Engineering,Medium,28,61,Late submission,2023-08-15,1
17,1001,Quality,Low,23,72,Late submission,2023-06-25,0
18,1087,Quality,Low,41,65,Incomplete description,2023-05-13,1
19,1029,Maintenance,Medium,89,52,Poor mitigation plan,2023-02-17,1
20,1037,Operations,Low,12,79,Missing risk assessment,2023-08-12,0
21,1001,Engineering,High,32,71,Incomplete description,2023-01-03,0
22,1063,Operations,High,9,58,Poor mitigation plan,2023-04-26,1
23,1059,Operations,Medium,21,78,No issue,2023-06-24,0
24,1020,Quality,Low,40,96,Late submission,2023-07-09,0
25,1032,Maintenance,Low,23,86,Missing risk assessment,2023-04-09,0
26,1075,Safety,Low,68,72,Late submission,2023-04-26,0
27,1057,Maintenance,Medium,15,62,No issue,2023-01-14,1
28,1021,Maintenance,Medium,58,81,Poor mitigation plan,2023-07-10,0
29,1088,Operations,High,49,95,No issue,2023-04-22,0
30,1048,Maintenance,Medium,51,96,No issue,2023-03-02,0
31,1090,Engineering,High,16,97,Late submission,2023-06-08,0
32,1058,Operations,High,25,72,Missing risk assessment,2023-04-05,0
33,1041,Engineering,Low,15,94,No issue,2023-01-17,0
34,1091,Safety,High,9,66,Late submission,2023-05-04,1
35,1059,Operations,Low,85,89,Missing risk assessment,2023-01-24,0
36,1079,Safety,Low,60,70,Poor mitigation plan,2023-04-26,0
